index,Laplacian_Variance,Output
0,28014.770472502376,0
1,17536.913991920213,0
2,17263.140645861073,0
3,24210.001494084056,0
4,29310.758471755646,0
5,17641.61859860098,0
6,28706.420203823207,0
7,7291.770359045733,0
8,32923.85893422192,0
9,15313.05122698225,0
10,13543.74481486214,0
11,32823.19668157534,0
12,20755.087950882647,0
13,27001.859835212297,0
14,26208.768851491524,0
15,6501.516713820137,0
16,16030.233417208468,0
17,35855.7398902393,0
18,33859.52903306768,0
19,19312.354954596,0
20,30416.43893663784,0
21,8459.824914637855,0
22,6837.49976237494,0
23,33470.86436322335,0
24,4059.2511433664595,0
25,38953.576471417895,0
26,28468.61283906203,0
27,26257.77339420374,0
28,7426.459674547597,0
29,28364.480834976493,0
30,21845.219488445844,0
31,3248.2970727557513,0
32,32916.45357718757,0
33,2517.380312610019,0
34,21437.562383459765,0
35,4787.532859307565,0
36,16204.98523676373,0
37,17154.78024499131,0
38,26023.197503763186,0
39,1564.399743647522,0
40,27839.796477081458,0
41,8613.860730590934,0
42,31921.739307225922,0
43,14156.397928067092,0
44,34806.608043284374,0
45,23252.53653303137,0
46,15062.451631727943,0
47,13440.650416640254,0
48,28126.19260291687,0
49,19690.786884192377,0
50,9220.176815287374,0
51,21867.31445617462,0
52,22666.973785288472,0
53,22729.11550277617,0
54,31218.26444585914,0
55,24765.74519590299,0
56,22268.588399667537,0
57,5392.200668732453,0
58,15658.781478242625,0
59,27304.772647262962,0
60,21665.547689556442,0
61,29517.195828655662,0
62,28211.087941767142,0
63,10109.36100836734,0
64,13958.443990726466,0
65,33806.32042892498,0
66,9230.681299405609,0
67,27911.764531615143,0
68,25885.49019629955,0
69,24095.322313487122,0
70,26280.936421748516,0
71,35015.92605983374,0
72,8776.808439061819,0
73,28165.324864960312,0
74,12310.152799389287,0
75,30585.492148382054,0
76,17723.10881127068,0
77,14161.897643295544,0
78,34159.92080554111,0
79,28888.743617892425,0
80,14950.308691525444,0
81,30742.007929505842,0
82,12604.029770902154,0
83,31750.70908969621,0
84,13472.00602642641,0
85,16314.752565892935,0
86,10611.92724492849,0
87,32134.44128705749,0
88,18132.048104737827,0
89,21448.01661767526,0
90,29257.249677836233,0
91,1245.2208252704552,0
92,15227.963748155673,0
93,24551.636482785347,0
94,11672.407695963597,0
95,6512.107823397762,0
96,1297.2469520134696,0
97,18817.428614885404,0
98,34589.032940714686,0
99,4290.96482339234,0
100,35067.219104858355,0
101,20457.675427359587,0
102,2108.7192855566973,0
103,28245.42519068206,0
104,11625.214239518593,0
105,24758.080706918274,0
106,9276.472136273798,0
107,14564.812541524017,0
108,14255.662830471594,0
109,23407.49122763434,0
110,18242.851842714692,0
111,6261.195217448418,0
112,20575.296934677568,0
113,32969.73939443071,0
114,24767.099743601113,0
115,33285.68131682505,0
