index,Laplacian_Variance,Output
0,3582.800991454791,0
1,22920.37643264516,0
2,11653.031927264155,0
3,4360.626331998559,0
4,2552.040701537828,0
5,14047.246682918336,0
6,10037.5156273341,0
7,30472.602955989565,0
8,18628.294393570573,0
9,12550.081810986363,0
10,5470.426176311928,0
11,22641.656198711302,0
12,18619.040963453608,0
13,23886.4225309978,0
14,34434.42745735979,0
15,34504.63625227114,0
16,20838.607064174175,0
17,34757.71733824379,0
18,32027.56226544637,0
19,14432.283960376333,0
20,7365.304419692194,0
21,31368.82637715407,0
22,33226.39853516456,0
23,24066.315330772046,0
24,5459.614733976575,0
25,7662.194187572077,0
26,26905.441416570902,0
27,4202.6993078726255,0
28,21516.42693835816,0
29,33803.429195534656,0
30,16034.213714437741,0
31,15302.093975313403,0
32,11198.712418592017,0
33,28032.396916716192,0
34,9555.84822693018,0
35,34598.298253073495,0
36,24647.868640895522,0
37,30117.90472715981,0
38,32687.207320886453,0
39,5519.558994742403,0
40,5235.80329947893,0
41,12370.9642360001,0
42,12259.529467256938,0
43,24375.988197691164,0
44,15461.890430295121,0
45,22679.416269575224,0
46,6935.246620833276,0
47,29713.862628183724,0
48,9643.684974392867,0
49,34193.655418315175,0
50,18166.661779731443,0
51,5642.697796482248,0
52,5808.510650559413,0
53,4956.122455306437,0
54,11168.231627926616,0
55,31061.438028769546,0
56,9981.283391441159,0
57,14550.385581309127,0
58,19579.675976841892,0
59,4115.655788869364,0
60,25824.420549968614,0
61,5906.665664919466,0
62,16285.888480496922,0
63,14050.286598928107,0
64,33061.025348552874,0
65,23721.291033962774,0
66,26205.650156023352,0
67,10469.944628455161,0
68,26176.38036017868,0
69,13738.343356026537,0
70,27501.952526981004,0
71,19499.462195477063,0
72,11638.773045841259,0
73,33516.734630634564,0
74,17554.93747205959,0
75,1336.0781228506987,0
76,33645.63636817961,0
77,16589.476259272185,0
78,19959.611606734674,0
79,19670.433453138587,0
80,28625.758398107613,0
81,23698.513005353445,0
82,23170.746172856056,0
83,22104.718612997374,0
84,14387.142819607028,0
85,27448.54193538266,0
86,27351.129853551418,0
87,2136.1777576838062,0
88,26416.453293284983,0
89,24790.096312978298,0
90,26753.57116025576,0
91,13747.625195615443,0
92,16741.13024479811,0
93,11866.540821616987,0
94,23007.103453460943,0
95,32445.70139943887,0
96,31662.026206136306,0
97,30718.09373126033,0
98,31789.642346718912,0
99,24984.491696311405,0
100,29461.862665075903,0
101,13590.207038843504,0
102,29330.265921250084,0
103,14058.237229648275,0
104,13745.201145714434,0
105,31156.179970624835,0
106,12668.234612201297,0
107,22271.355560336393,0
108,30069.213612167026,0
109,13793.07680657015,0
110,29685.14306560899,0
111,15082.277106936821,0
112,6844.12423659134,0
113,27210.66986235519,0
